ID,latitude,longitude,Observer location
1,53.142068,0.2919702,"TF 534630     53 08’ 35” N 000 17’ 36” E Middlemarsh Farm near Skegness, Lincs"
2,52.894265,0.49742487,TF681359
3,52.893972,0.498222,"52°53'38.3""N 0°29'53.6""E"
4,52.891944,0.4975,"52°53'31""N 0°29'51""E"
5,52.875278,0.471667,"52°52'31""N 0°28'18""E"
6,50.673163,-3.4873114,"SX9587, Exminster Marshes"
7,52.886788,0.46108033,TF6568434984
8,50.604916, -3.435365,"Dawlish Warren, Exe Estuary"
9,52.878161,0.45042585,TF650340
10,52.890989,0.450504,"52.890989, 0.450504"
11,52.845547,0.44042032,TF64453035
12,52.880211,0.45128463,TF65053423
13,52.8536,0.75058491,TF853320
14,52.850464,0.4444539,TF6470330906
15,52.946374,0.48829445,TF67285 41674
16,52.898676,0.46526783,Heacham South Beach
17,52.879957,0.45052715,TF650342
18,52.900452,0.47681399,TF66693654
19,52.902938,0.46966915,TF662368
20,52.8964,0.5012,52.8964N 00.5012E
21,52.969499,0.56322843,TF7222744423
22,52.879984,0.55415395,TF7197234446
23,52.923639,0.496833,"52°55'25.1""N 0°29'48.6""E  (North side of - Chalk River Road, Heacham, Norfolk"
24,52.923944,0.49525,"52°55'26.2""N 0°29'42.9""E"
25,52.923389,0.495278,"52°55'24.2""N 0°29'43.0""E"
26,52.922199,0.49456948,TF67803900
27,52.9241,0.494606,"52.92412692343782, 0.49460698248021373"
28,52.922972,0.496417,"52°55'22.7""N 0°29'47.1""E Heacham, Chalk River Road  "
