Station_ID,Observed_DateTime,Observed_Height,Tide,Predicted_DateTime,Predicted_Height
TW02,01/07/2022 01:27,1.75,LW,01/07/2022 02:30,1.56
TW02,01/07/2022 07:07,6.93,HW,01/07/2022 07:10,6.82
TW02,01/07/2022 14:06,1.55,LW,01/07/2022 14:57,1.33
TW02,01/07/2022 19:45,6.64,HW,01/07/2022 19:40,6.42
TW02,02/07/2022 01:57,1.64,LW,02/07/2022 02:57,1.61
TW02,02/07/2022 07:46,6.71,HW,02/07/2022 07:43,6.76
TW02,02/07/2022 14:41,1.44,LW,02/07/2022 15:26,1.37
TW02,02/07/2022 20:26,6.47,HW,02/07/2022 20:16,6.35
TW02,03/07/2022 02:30,1.87,LW,03/07/2022 03:23,1.68
TW02,03/07/2022 08:17,6.85,HW,03/07/2022 08:16,6.64
TW02,03/07/2022 15:30,1.63,LW,03/07/2022 15:53,1.44
TW02,03/07/2022 20:57,6.44,HW,03/07/2022 20:52,6.24
TW02,04/07/2022 03:05,1.9,LW,04/07/2022 03:50,1.78
TW02,04/07/2022 08:57,6.65,HW,04/07/2022 08:50,6.5
TW02,04/07/2022 15:55,1.71,LW,04/07/2022 16:23,1.52
TW02,04/07/2022 21:35,6.37,HW,04/07/2022 21:31,6.09
TW02,05/07/2022 03:39,2.11,LW,05/07/2022 04:21,1.91
TW02,05/07/2022 09:28,6.6,HW,05/07/2022 09:26,6.35
TW02,05/07/2022 16:43,1.82,LW,05/07/2022 16:57,1.61
TW02,05/07/2022 22:25,6.12,HW,05/07/2022 22:13,5.93
TW02,06/07/2022 04:29,2,LW,06/07/2022 04:56,2.05
TW02,06/07/2022 10:25,6.23,HW,06/07/2022 10:09,6.21
TW02,06/07/2022 17:22,1.8,LW,06/07/2022 17:35,1.68
TW02,06/07/2022 23:18,6.2,HW,06/07/2022 23:04,5.78
TW02,07/07/2022 05:16,2.68,LW,07/07/2022 05:38,2.18
TW02,07/07/2022 10:59,6.4,HW,07/07/2022 11:03,6.1
TW02,07/07/2022 18:29,1.78,LW,07/07/2022 18:19,1.74
TW02,08/07/2022 00:36,5.81,HW,08/07/2022 00:02,5.7
