Station_ID,Observed_DateTime,Observed_Height,Tide,Predicted_DateTime,Predicted_Height,DateTime_Difference,Height_Difference
TW02,01/07/2023 04:02,6.53,HW,01/07/2023 03:51,6.23,+00:11,0.3
TW02,01/07/2023 10:25,2.15,LW,01/07/2023 10:51,1.83,-00:26,0.33
TW02,01/07/2023 16:07,6.7,HW,01/07/2023 16:06,6.44,+00:01,0.25
TW02,01/07/2023 22:48,1.82,LW,01/07/2023 23:29,1.46,-00:41,0.36
TW02,02/07/2023 04:45,6.89,HW,02/07/2023 04:41,6.58,+00:04,0.31
TW02,02/07/2023 11:07,1.87,LW,02/07/2023 11:59,1.48,-00:52,0.39
TW02,02/07/2023 17:06,6.94,HW,02/07/2023 17:02,6.75,+00:04,0.19
TW02,02/07/2023 23:50,1.53,LW,03/07/2023 00:32,1.28,-00:42,0.25
TW02,03/07/2023 05:37,7.21,HW,03/07/2023 05:29,6.91,+00:08,0.3
TW02,03/07/2023 12:21,1.38,LW,03/07/2023 13:04,1.14,-00:43,0.24
TW02,03/07/2023 18:03,7.27,HW,03/07/2023 17:58,7.01,+00:05,0.27
TW02,04/07/2023 00:48,1.35,LW,04/07/2023 01:31,1.14,-00:43,0.22
TW02,04/07/2023 06:23,7.43,HW,04/07/2023 06:15,7.19,+00:08,0.24
TW02,04/07/2023 13:19,1.26,LW,04/07/2023 14:06,0.84,-00:47,0.43
TW02,04/07/2023 18:53,7.46,HW,04/07/2023 18:52,7.19,+00:01,0.27
TW02,05/07/2023 01:17,1.4,LW,05/07/2023 02:27,1.04,#SPILL!,0.36
TW02,05/07/2023 07:05,7.6,HW,05/07/2023 07:02,7.4,+00:03,0.2
TW02,05/07/2023 14:13,0.99,LW,05/07/2023 14:54,0.61,-00:41,0.38
TW02,05/07/2023 19:47,7.54,HW,05/07/2023 19:43,7.27,+00:04,0.27
TW02,06/07/2023 02:05,1.37,LW,06/07/2023 03:06,1.02,#SPILL!,0.35
TW02,06/07/2023 07:52,7.58,HW,06/07/2023 07:46,7.51,+00:06,0.07
TW02,06/07/2023 15:21,0.82,LW,06/07/2023 15:35,0.49,-00:14,0.34
TW02,06/07/2023 20:39,7.32,HW,06/07/2023 20:34,7.22,+00:05,0.11
TW02,07/07/2023 02:50,1.23,LW,07/07/2023 03:44,1.1,-00:54,0.13
TW02,07/07/2023 08:42,7.47,HW,07/07/2023 08:32,7.49,+00:10,-0.02
TW02,07/07/2023 16:14,0.85,LW,07/07/2023 16:16,0.5,-00:02,0.35
