Station_ID,Observed_DateTime,Observed_Height,Tide,Predicted_DateTime,Predicted_Height
TW02,01/07/2021 04:47,2.22,LW,01/07/2021 05:14,2.04
TW02,01/07/2021 10:40,6.77,HW,01/07/2021 10:34,6.36
TW02,01/07/2021 17:57,1.9,LW,01/07/2021 17:52,1.58
TW02,01/07/2021 23:32,5.92,HW,01/07/2021 23:38,5.76
TW02,02/07/2021 05:34,2.47,LW,02/07/2021 05:53,2.31
TW02,02/07/2021 11:31,6.39,HW,02/07/2021 11:31,6.04
TW02,02/07/2021 18:51,2.05,LW,02/07/2021 18:34,1.85
TW02,03/07/2021 00:42,5.74,HW,03/07/2021 00:33,5.54
TW02,03/07/2021 06:28,2.62,LW,03/07/2021 06:40,2.49
TW02,03/07/2021 12:32,6.13,HW,03/07/2021 12:31,5.81
TW02,03/07/2021 19:23,2.24,LW,03/07/2021 19:19,2.03
TW02,04/07/2021 01:47,5.72,HW,04/07/2021 01:29,5.48
TW02,04/07/2021 07:38,2.68,LW,04/07/2021 07:38,2.54
TW02,04/07/2021 13:37,6.07,HW,04/07/2021 13:33,5.72
TW02,04/07/2021 19:02,2.21,LW,04/07/2021 20:28,2.09
TW02,05/07/2021 02:43,5.76,HW,05/07/2021 02:26,5.58
TW02,05/07/2021 08:39,2.64,LW,05/07/2021 08:59,2.43
TW02,05/07/2021 14:40,6.12,HW,05/07/2021 14:34,5.76
TW02,05/07/2021 21:16,2.39,LW,05/07/2021 21:36,2.04
TW02,06/07/2021 03:34,6.07,HW,06/07/2021 03:20,5.81
TW02,06/07/2021 09:39,2.51,LW,06/07/2021 10:11,2.2
TW02,06/07/2021 15:47,6.2,HW,06/07/2021 15:30,5.91
TW02,06/07/2021 22:23,2.27,LW,06/07/2021 22:37,1.92
TW02,07/07/2021 04:20,6.26,HW,07/07/2021 04:07,6.1
TW02,07/07/2021 10:35,2.2,LW,07/07/2021 11:13,1.93
TW02,07/07/2021 16:20,6.47,HW,07/07/2021 16:20,6.09
TW02,07/07/2021 23:03,2.1,LW,07/07/2021 23:33,1.77
TW02,08/07/2021 05:02,6.54,HW,08/07/2021 04:47,6.38
TW02,08/07/2021 11:35,1.92,LW,08/07/2021 12:08,1.68
TW02,08/07/2021 17:16,6.49,HW,08/07/2021 17:04,6.28
TW02,08/07/2021 23:44,1.88,LW,09/07/2021 00:25,1.63
TW02,09/07/2021 05:34,6.75,HW,09/07/2021 05:26,6.61
TW02,09/07/2021 12:14,1.73,LW,09/07/2021 13:00,1.48
TW02,09/07/2021 17:50,6.65,HW,09/07/2021 17:47,6.44
TW02,10/07/2021 00:18,1.78,LW,10/07/2021 01:13,1.53
TW02,10/07/2021 06:11,7,HW,10/07/2021 06:03,6.79
TW02,10/07/2021 12:48,1.57,LW,10/07/2021 13:50,1.32
TW02,10/07/2021 18:34,6.86,HW,10/07/2021 18:30,6.57
TW02,11/07/2021 00:55,1.68,LW,11/07/2021 01:59,1.47
TW02,11/07/2021 06:46,7.04,HW,11/07/2021 06:42,6.9
TW02,11/07/2021 13:42,1.44,LW,11/07/2021 14:33,1.22
TW02,11/07/2021 19:13,6.93,HW,11/07/2021 19:11,6.66
TW02,12/07/2021 01:30,1.65,LW,12/07/2021 02:36,1.45
TW02,12/07/2021 07:18,7.19,HW,12/07/2021 07:18,6.95
TW02,12/07/2021 14:26,1.47,LW,12/07/2021 15:05,1.15
TW02,12/07/2021 19:51,7.08,HW,12/07/2021 19:49,6.69
TW02,13/07/2021 02:09,1.78,LW,13/07/2021 03:06,1.46
TW02,13/07/2021 07:51,7.27,HW,13/07/2021 07:53,6.95
TW02,13/07/2021 15:00,1.45,LW,13/07/2021 15:36,1.12
TW02,13/07/2021 20:34,7.02,HW,13/07/2021 20:29,6.66
TW02,14/07/2021 02:45,1.8,LW,14/07/2021 03:35,1.49
TW02,14/07/2021 08:30,7.2,HW,14/07/2021 08:28,6.93
TW02,14/07/2021 15:50,1.49,LW,14/07/2021 16:07,1.14
TW02,14/07/2021 21:08,6.86,HW,14/07/2021 21:08,6.56
TW02,15/07/2021 03:21,1.83,LW,15/07/2021 04:07,1.57
TW02,15/07/2021 09:15,7.35,HW,15/07/2021 09:06,6.86
TW02,15/07/2021 16:33,1.7,LW,15/07/2021 16:41,1.2
TW02,15/07/2021 22:05,6.69,HW,15/07/2021 21:51,6.4
TW02,16/07/2021 04:01,1.89,LW,16/07/2021 04:42,1.7
TW02,16/07/2021 10:02,6.87,HW,16/07/2021 09:50,6.74
TW02,16/07/2021 17:28,1.48,LW,16/07/2021 17:19,1.3
TW02,16/07/2021 22:53,6.55,HW,16/07/2021 22:39,6.21
TW02,17/07/2021 04:50,2.04,LW,17/07/2021 05:22,1.86
TW02,17/07/2021 10:43,6.71,HW,17/07/2021 10:41,6.56
TW02,17/07/2021 17:50,1.67,LW,17/07/2021 18:02,1.45
TW02,17/07/2021 23:41,6.53,HW,17/07/2021 23:37,6.02
TW02,18/07/2021 05:47,2.3,LW,18/07/2021 06:10,2.02
TW02,18/07/2021 11:42,6.54,HW,18/07/2021 11:42,6.38
TW02,18/07/2021 18:46,1.75,LW,18/07/2021 18:52,1.6
TW02,19/07/2021 00:49,6.29,HW,19/07/2021 00:43,5.91
TW02,19/07/2021 06:59,2.23,LW,19/07/2021 07:06,2.12
TW02,19/07/2021 12:57,6.45,HW,19/07/2021 12:53,6.26
TW02,19/07/2021 20:04,1.74,LW,19/07/2021 20:01,1.69
TW02,20/07/2021 02:08,6.34,HW,20/07/2021 01:54,5.97
TW02,20/07/2021 08:05,2.22,LW,20/07/2021 08:31,2.08
TW02,20/07/2021 14:15,6.55,HW,20/07/2021 14:11,6.28
TW02,20/07/2021 21:06,1.71,LW,20/07/2021 21:25,1.66
TW02,21/07/2021 03:06,6.55,HW,21/07/2021 03:02,6.19
TW02,21/07/2021 09:22,2.06,LW,21/07/2021 10:01,1.85
TW02,21/07/2021 15:28,6.73,HW,21/07/2021 15:26,6.46
TW02,21/07/2021 22:05,1.59,LW,21/07/2021 22:43,1.53
TW02,22/07/2021 04:10,6.79,HW,22/07/2021 04:02,6.53
TW02,22/07/2021 10:40,1.71,LW,22/07/2021 11:21,1.49
TW02,22/07/2021 16:35,7.05,HW,22/07/2021 16:34,6.73
TW02,22/07/2021 23:10,1.56,LW,22/07/2021 23:54,1.36
TW02,23/07/2021 05:05,7.2,HW,23/07/2021 04:58,6.88
TW02,23/07/2021 11:39,1.43,LW,23/07/2021 12:32,1.12
TW02,23/07/2021 17:36,7.33,HW,23/07/2021 17:37,7
TW02,24/07/2021 00:09,1.43,LW,24/07/2021 00:58,1.2
TW02,24/07/2021 05:48,7.52,HW,24/07/2021 05:48,7.19
TW02,24/07/2021 12:59,1.23,LW,24/07/2021 13:37,0.8
TW02,24/07/2021 18:31,7.52,HW,24/07/2021 18:33,7.19
TW02,25/07/2021 00:58,1.45,LW,25/07/2021 01:55,1.09
TW02,25/07/2021 06:32,7.75,HW,25/07/2021 06:36,7.41
TW02,25/07/2021 13:53,1.11,LW,25/07/2021 14:32,0.59
TW02,25/07/2021 19:18,7.56,HW,25/07/2021 19:23,7.26
TW02,26/07/2021 01:45,1.41,LW,26/07/2021 02:41,1.06
TW02,26/07/2021 07:17,7.78,HW,26/07/2021 07:19,7.52
TW02,26/07/2021 14:37,0.97,LW,26/07/2021 15:11,0.52
TW02,26/07/2021 20:06,7.41,HW,26/07/2021 20:06,7.19
