urn,flag_id,cohort_num,release_location,weight,weight_num,wing,wing_num,age,date_measured
1,0A,1,Sandringham,370,1,150,1,25,10/06/2021
9,0A,1,Sandringham,433,2,,,39,24/06/2021
35,0A,1,Sandringham,485,3,255,2,48,03/07/2021
2,0C,1,Sandringham,350,1,166,1,29,10/06/2021
10,0C,1,Sandringham,418,2,,,43,24/06/2021
36,0C,1,Sandringham,512,3,270,2,52,03/07/2021
3,0E,1,Sandringham,520,1,193,1,29,10/06/2021
11,0E,1,Sandringham,630,2,,,43,24/06/2021
37,0E,1,Sandringham,662,3,288,2,52,03/07/2021
4,0J,1,Sandringham,455,1,179,1,29,10/06/2021
12,0J,1,Sandringham,580,2,,,43,24/06/2021
38,0J,1,Sandringham,585,3,277,2,52,03/07/2021
5,0K,1,Sandringham,310,1,114,1,23,10/06/2021
13,0K,1,Sandringham,466,2,,,37,24/06/2021
39,0K,1,Sandringham,571,3,253,2,46,03/07/2021
6,0L,1,Sandringham,290,1,133,1,25,10/06/2021
14,0L,1,Sandringham,417,2,,,39,24/06/2021
40,0L,1,Sandringham,468,3,244,2,48,03/07/2021
7,0N,1,Sandringham,270,1,97,1,22,10/06/2021
15,0N,1,Sandringham,427,2,,,36,24/06/2021
41,0N,1,Sandringham,524,3,239,2,45,03/07/2021
17,0P,2,Ken Hill,506,1,204,1,35,26/06/2021
43,0P,2,Ken Hill,575,2,251,2,47,08/07/2021
18,0T,2,Ken Hill,418,1,184,1,33,26/06/2021
44,0T,2,Ken Hill,471,2,,,45,08/07/2021
8,0U,1,Sandringham,340,1,142,1,25,10/06/2021
16,0U,1,Sandringham,475,2,,,39,24/06/2021
42,0U,1,Sandringham,511,3,252,2,48,03/07/2021
19,0V,2,Ken Hill,395,1,197,1,36,26/06/2021
45,0V,2,Ken Hill,497,2,243,2,48,08/07/2021
20,0X,2,Ken Hill,430,1,185,1,33,26/06/2021
46,0X,2,Ken Hill,489,2,,,45,08/07/2021
21,0Y,2,Ken Hill,401,1,167,1,28,26/06/2021
47,0Y,2,Ken Hill,537,2,,,40,08/07/2021
22,2A,2,Ken Hill,528,1,215,1,38,26/06/2021
48,2A,2,Ken Hill,663,2,260,2,50,08/07/2021
23,2C,2,Ken Hill,401,1,180,1,31,26/06/2021
49,2C,2,Ken Hill,474,2,,,43,08/07/2021
24,2E,2,Ken Hill,454,1,191,1,37,26/06/2021
50,2E,2,Ken Hill,568,2,242,2,49,08/07/2021
25,2H,2,Ken Hill,420,1,177,1,29,26/06/2021
51,2H,2,Ken Hill,524,2,,,41,08/07/2021
26,2J,2,Ken Hill,460,1,190,1,34,26/06/2021
52,2J,2,Ken Hill,510,2,242,2,46,08/07/2021
27,2K,2,Ken Hill,413,1,163,1,31,26/06/2021
53,2K,2,Ken Hill,524,2,,,43,08/07/2021
28,2L,2,Ken Hill,401,1,162,1,30,26/06/2021
54,2L,2,Ken Hill,463,2,,,43,08/07/2021
29,2N,2,Ken Hill,440,1,191,1,32,26/06/2021
55,2N,2,Ken Hill,481,2,,,44,08/07/2021
30,2P,2,Ken Hill,439,1,170,1,27,26/06/2021
