Year,Collection,clutch,Date collected,RAF Airbase,No. eggs,No. fertile,Date start hatch,No. hatch,No. released,No. days incubated on collection,Notes
2021,1,1,20/04/2021,Marham,3,3,17/05/2021,3,3,0,
2021,2,2,22/04/2021,Scampton,4,4,19/05/2021,3,3,2,1 egg off 20/5
2021,2,3,22/04/2021,Scampton,4,3,13/05/2021,3,,5,4th egg incubated but infertile removed 27th April
2021,3,4,27/04/2021,Marham,4,4,24/05/2021,4,,2,"Emergency collection at night, cooled for two hours."
2021,4,5,28/04/2021,Scampton,4,4,20/05/2021,4,,5,
2021,5,6,04/05/2021,Wittering,4,4,27/05/2021,2,,4,"One egg off removed 14/5, 2nd egg off 20/05"
2021,5,7,04/05/2021,Wittering,1,1,,0,,0,1 egg off and removed 2/6/2021
2021,6,8,04/05/2021,Topcliffe,4,4,28/05/2021,3,,0,One egg off removed 18/5
2021,6,9,04/05/2021,Teeside,4,4,30/05/2021,4,,0,
2021,7,10,10/05/2021,Marham,4,4,05/06/2021,3,,,1 dead in shell
2021,8,11,13/05/2021,Cranwell,4,4,10/06/2021,4,,,
2021,9,12,14/05/2021,Cranwell,4,4,01/06/2021,4,,,
2021,9,13,14/05/2021,Waddington,4,4,26/05/2021,4,,,
2021,9,14,14/05/2021,Waddington,4,4,24/05/2021,4,,,
2021,10,15,18/05/2021,Marham,4,4,07/06/2021,4,,,
2021,10,16,18/05/2021,Barkston Heath,4,4,13/06/2021,4,,,
2021,10,17,18/05/2021,Barkston Heath,3,3,11/06/2021,3,,0,
2021,10,18,18/05/2021,Barkston Heath,3,3,15/06/2021,3,,0,
2021,10,19,18/05/2021,Barkston Heath,3,3,15/06/2021,3,,0,
2021,10,20,18/05/2021,Barkston Heath,2,2,16/07/2021,1,,0,
2021,10,21,18/05/2021,Barkston Heath,3,3,15/06/2021,2,,0,
2021,10,22,18/05/2021,Barkston Heath,3,3,16/07/2021,1,,0,1 egg off and removed 1/6
2021,11,23,20/05/2021,Waddington,4,4,31/05/2021,4,,,
2021,11,24,20/05/2021,Scampton,3,3,17/06/2021,2,,0,1 egg off and removed 4/6
2021,11,25,20/05/2021,Scampton,4,4,17/06/2021,4,,,
2021,11,26,20/05/2021,Scampton,3,3,16/06/2021,2,,0,
2021,11,27,20/05/2021,Topcliffe,3,3,14/06/2021,3,,0,
2021,12,28,25/05/2021,Scampton,4,4,20/06/2021,4,,,
2021,12,29,25/05/2021,Scampton,4,4,,0,,,all off and removed 4/6
2021,12,30,25/05/2021,Marham,4,4,18/06/2021,2,,,2 eggs off removed 17/06
2022,1,1,27/04/22,Scampton,3,3,20/05/2022,3,3,0,
2022,1,2,27/04/22,Scampton,4,4,26/05/2022,3,3,0,1 egg cracked on collection at air sac. Collapsed overnight and removed
2022,2,3,03/05/22,Barkston Heath,4,4,29/05/2022,3,1,0,
2022,2,4,03/05/22,Barkston Heath,4,4,25/05/2022,3,3,0,"egg 4/4 poor embryo development noticed 6th May, egg removed 9th May not viable."
2022,2,5,03/05/22,Marham,4,4,26/05/2022,3,3,0,"egg 5/2 cracked, puncture wound sealed but not viable - removed 9th May"
2022,2,6,04/05/22,Cranwell,4,3,18/05/2022,3,3,10,
2022,2,7,04/05/22,Scampton,4,4,28/05/2022,4,4,0,
2022,2,8,04/05/22,Scampton,4,4,26/05/2022,4,3,0,1 hatched with unabsorbed yolk sac (No. 5)
