Year,Group,Clutch,Date_hatched,Egg_no,Time_of_hatch,Initial_colour_ring,Second_Colour_ring,Dry_weight,Shell_weight,Pen,Hatch_weight,Date_moved_outside,Weight_movedout_g,Weight_perc_increase_per_day,Flight_pen_no,Date_rung,Age_rung_days,Weight_at_ring,BTO_ring,Flag,GPS,Satelite_tag,Sex,Date_moved_release_site,Age_moved_release_site,Weight_moved_release_site_day,Release_site,Release_date,Age_at_release,Extra_weight_day_release,Notes,Notes_early_hatch,Ringing_notes,Notes_moving,Vet_notes_move_releasesite,Outcome,Name,Base
2021,,3,12/05/2021,3/1,,Blue L,,46.9,4.7,,,18/05/2021,,,,10/06/2021,29,530,,0E,Yes,,Female,24/06/2021,43,629.6,Sandringham,06/07/2021,55,,,,,,,,,
2021,,3,12/05/2021,3/2,,Red L,,45.1,5.3,,,18/05/2021,,,,10/06/2021,29,360,,0C,No,,Male,24/06/2021,43,417.9,Sandringham,06/07/2021,55,,,,,,,,,
2021,,3,12/05/2021,3/3,,Green L,,46.8,6.3,,,18/05/2021,,,,10/06/2021,29,465,,0J,Yes,,Male,24/06/2021,43,579.8,Sandringham,06/07/2021,55,,,,,,,,,
2021,,1,16/05/2021,1/1,,Pink 1 Right,,,,,,22/05/2021,,,,10/06/2021,25,480,,0A,No,,Male,24/06/2021,39,433.1,Sandringham,06/07/2021,51,,,,,,,,,
2021,,1,16/05/2021,1/2,,Pink 2 Left,,,,,,22/05/2021,,,,10/06/2021,25,300,,0L,No,,Male,24/06/2021,39,416.9,Sandringham,06/07/2021,51,,,,,,,,,
2021,,1,16/05/2021,1/3,,Pink 3 Right,,,,,,22/05/2021,,,,10/06/2021,25,350,,0U,No,,Male,24/06/2021,39,474.7,Sandringham,06/07/2021,51,,,,,,,,,
2021,,2,18/05/2021,2/4,,Black 1,,,,,,25/05/2021,78.7,,,10/06/2021,23,320,,0K,No,,Female,24/06/2021,37,465.9,Sandringham,06/07/2021,49,,egg 2/1 off,,,,,,,
2021,,2,19/05/2021,2/2,,Black 2,,,,,,25/05/2021,77.2,,,10/06/2021,22,280,,0N,No,,Female,24/06/2021,36,427.8,Sandringham,06/07/2021,48,,,,,,,,,
2021,,2,19/05/2021,2/3,,Black 3,,,,,,25/05/2021,81.9,,,26/06/2021,38,528,,2A,No,,Female,08/07/2021,50,,Ken Hill 1,15/07/2021,57,,"Went off legs outside, briought in and given solulite. Recovered after two days in with Grey 3 and 4 out again 31/05",,,,,,,
2021,,5,20/05/2021,5/1,,Yellow 2,,,,,,25/05/2021,68.8,,,26/06/2021,37,454,,2E,No,,Female,08/07/2021,49,,Ken Hill 1,15/07/2021,56,,,,,,,,,
2021,,5,20/05/2021,5/2,,Yellow 3,,,,,,25/05/2021,71.5,,,26/06/2021,37,378,,2T,No,,Female,17/07/2021,58,,Ken Hill 1,22/07/2021,63,,,,,,,,,
2021,,5,21/05/2021,5/3,,Yellow 4,,,,,,25/05/2021,65,,,26/06/2021,36,395,,0V,No,,Male,08/07/2021,48,,Ken Hill 1,15/07/2021,55,,,,,,,,,
2021,,5,22/05/2021,5/4,,Yellow 1,,,,,,28/05/2021,88.5,,,26/06/2021,35,506,,0P,No,,Female,08/07/2021,47,,Ken Hill 1,15/07/2021,54,,small so moved in with 4/3 and 14/2 on 24/05,,,,,,,
2021,,4,23/05/2021,4/3,,Pink 5,,47.1,4.8,,,28/05/2021,71.7,,,26/06/2021,34,410,,2U,No,,Female,08/07/2021,46,,Ken Hill 1,15/07/2021,53,,,,,,,,,
