year,tagged_date,release_location,flag_id,ring,tag_serial,tag_freq,tag_start_time,tag_end_time,tag_fitted_by,tag_checked_by,release_time,weight,wing,tarsus,tag_deployment_weight,colour_marks_weight,glue_weight,total_deployment_weight_tag_colours,perc_weight,perc_pin_lower_back_feathers,photo_by,comments_fitting,comments_release,outcome,outcome_2022,comments_outcome,comments_data_entry
2021,08/07/2021,Ken Hill,0P,FA95510,BB319,,1343,1356,KMB,NAC,1357,575,251,133,3.1,3.2,1.0,6.3,0.01095652174,1,,,went well,E,,,
2021,08/07/2021,Ken Hill,0V,FA95512,BB317,,1425,1435,JAC,NAC,1436,497,243,125,3,3.2,1.0,6.2,0.01247484909,0,,,"went off well, small shake",E,,"Still wearing radio on 08/09/2021, seen by GQA on Wolferton saltmarsh pool",
2021,08/07/2021,Ken Hill,2E,FA95517,BB318,,1452,1501,KMB,NAC,1503,568,242,133,2.9,3.2,1.0,6.1,0.01073943662,0,,,walked away fine,"Likely M, possibly U",,"radio signal suggested bird was dead, but no tag or carcass found despite searching",
2021,08/07/2021,Ken Hill,2J,FA95519,BB320,,1438,1450,SEF,NAC,1451,510,242,129,2.9,3.2,1.0,6.1,0.01196078431,2,,,walked away fine,M,,Found predated 27/07/2021 on Ken Hill in wood adjacent to Beach Road and track down to release pen; likely dead for at least 4-5 days,
2021,08/07/2021,Ken Hill,2U,FA95525,BB316,,1333,1340,NAC,SEF,1342,560,234,132,3,3.2,1.0,6.2,0.01107142857,0,,,walked off well in pen,E,,,
2021,17/07/2021,Ken Hill,3E,FA95531,BB387,,1336,1346,JAC,NAC,1347,512,248,122,2.9,3.2,1.0,6.1,0.0119140625,0,KMB,,went well,E,,"Still wearing radio on 14/01/2022, seen by birder on Middlemarsh Farm, Skegness",
2021,17/07/2021,Ken Hill,3L,FA95535,BB384,,1220,1227,KMB,NAC,1228,494,243,128,3.1,3.2,1.0,6.3,0.01275303644,0,KMB,,walked off well,E,,,
2021,20/07/2021,Sandringham,3T,FA95538,BB392,,1121,1126,NAC,JAC,1127,580,247,129,3.2,3.2,1.0,6.4,0.01103448276,0,,,"flapped, walked strongly",U,,,
2021,20/07/2021,Sandringham,4A,FA95543,BB389,,1111,1121,NAC,JAC,1123,515,244,128,3,3.2,1.0,6.2,0.01203883495,0,,,"walked strongly, shook",U,,,
2021,29/07/2021,Ken Hill,4H,FA95546,BB393,,957,1004,SEF,JAC,1005,598,235,132,2.9,3.2,1.0,6.1,0.0102006689,3,SEF,,walked well,M,,"Found dead 18/08/21 - raptor predation, field south of Ken Hill release pen",
2021,29/07/2021,Ken Hill,4L,FA95549,BB383,,944,954,SEF,JAC,955,495,257,132,3,3.2,1.0,6.2,0.01252525253,2,SEF,,2 pin feathers; walked well,E,T,seen CD/BS 14/12/2022 4L was in a flock of 33 Curlew feeding at high tide in field adjacent to Heacham golf course,
2021,03/08/2021,Sandringham,4T,FA95552,BB395,,1758,1808,KMB,SEF,1809,608,260,129,3,3.2,1.0,6.2,0.01019736842,4,,,walked off well,U,,,
2021,29/07/2021,Ken Hill,4X,FA95555,BB385,,1023,1030,JAC,SEF,1031,530,258,131,2.9,3.2,1.0,6.1,0.01150943396,0,SEF,,walked well,E,,,
2021,29/07/2021,Ken Hill,5A,FA95557,BB381,,1006,1013,JAC,SEF,1014,594,251,137,2.9,3.2,1.0,6.1,0.01026936027,20,SEF,,more pins than seen before; bitey bird the hand,U,,,
2021,03/08/2021,Sandringham,5J,FA95561,BB391,,1714,1726,KMB,SEF,1728,544,251,131,2.9,3.2,1.0,6.1,0.01121323529,0,,,"flopped slightly on release, then walked better",U,,,
2021,10/08/2021,Ken Hill,5N,FA95564,BB382,,938,944,SEF,,946,662,261,137,3,3.2,1.0,6.2,0.009365558912,0,,,walked fine in pen,U,,,
2021,10/08/2021,Ken Hill,5U,FA95567,BB320,,1012,1019,SEF,,1019,540,253,126,2.6,3.2,1.0,5.8,0.01074074074,3,,,walked well,E,T,"seen SF 27/11/2022 in 5cm winter cereal field near Fring with 80 other curlew, including 9 WWRG flagged curlew; also 300+ lapwing, black-headed gulls",
2021,10/08/2021,Ken Hill,5X,FA95569,BB386,,959,1007,SEF,,1007,640,256,136,3,3.2,1.0,6.2,0.0096875,3,,,walked well,M,,"Found dead 27/08/2021 in field south of Ken Hill release pen field, quite long dead approx 2 weeks",
