"urn","year","flag_id","ring","sex","name","cohort_num","tag_gps_radio_none","tag_serial","radio_tag_freq","tagged_date","release_location","release_date","migration_date","state","dead_date","comments","release_site","TagID","release_site_final","cohort_analysis","release_date_time","Data_1d","Data_1w","Data_2w","Data_6w","dead_date_time","daysalive"
1,2021,"0E","FA95504","F","",1,"gps",203285,NA,"03/07/2021","Sandringham 1","06/07/2021","","unknown","","Last transmission 10/06/2023. Intermittently logging GPS from Aug 2022.","Sandringham","Yf(0E)O/-:Y/m","Sandringham 1",1,"2021-07-06","2021-07-07 23:59:59","2021-07-13 23:59:59","2021-07-20 23:59:59","2021-08-17 23:59:59",NA,NA
2,2021,"0J","FA95505","F","",1,"gps",203286,NA,"03/07/2021","Sandringham 1","06/07/2021","","dead","08/07/2021","Found dead 8/07/2021 on Sandringhambare plowed field. Possible power line fatality and subsequently scavenged. bird was predated between 1530-1600 yesterday, 7th July. It was predated AT the location where it was found, not carried there from elsewhere. It went to this spot around 45 minutes before the predation event, at 1445. It was along the edge of the field at 1430. Whatever predated it then spent about 3 hours playing with the carcass, presumably plucking it, before leaving it at 1845, which is when the accelerometer data flatlines. Tag redeployed on 3K","Sandringham","Yf(0J)O/-:Y/m","Sandringham 1",1,"2021-07-06","2021-07-07 23:59:59","2021-07-13 23:59:59","2021-07-20 23:59:59","2021-08-17 23:59:59",2021-07-08,2
28,2021,"3A","FA95529","M","",3,"gps",203287,NA,"17/07/2021","Ken Hill 1","20/07/2021","","dead","27/09/2021","likely predated (definitely dead) on 27 Sep. Tag recovered on 29/09 from Heacham North Beach by Wayne Stewart. Ring recovered on 29/09/21 Caroline Bellenberg: https://app.bto.org//ringingteam/ring-prints/FA95529-34763849-R-29092021-34788411","Ken Hill","Yf(3A)O/-:Y/m","Ken Hill",2,"2021-07-20","2021-07-21 23:59:59","2021-07-27 23:59:59","2021-08-03 23:59:59","2021-08-31 23:59:59",2021-09-27,69
33,2021,"3K","FA95534","F","",3,"gps",203286,NA,"20/07/2021","Sandringham 1","27/07/2021","","unknown","","Probably dead, not checked in since 28/07/2021","Sandringham","Yf(3K)O/-:Y/m","Sandringham 1",2,"2021-07-27","2021-07-28 23:59:59","2021-08-03 23:59:59","2021-08-10 23:59:59","2021-09-07 23:59:59",NA,NA
90,2022,"6X","FA95583","M","Potato",1,"gps",223961,NA,"14/07/2022","Ken Hill 1","20/07/2022","","tag not transmitting GPS location","","08/12/2023: tag still transmitting and logging temperature data, which indicates bird is alive, but has not logged GPS locations since 29/08/2023","Ken Hill","Yf(6X)O/-:Y/m_KenHill","Ken Hill",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
82,2022,"6Y","FA95584","M","Nemo",1,"gps",223959,NA,"14/07/2022","Sandringham 2","20/07/2022","24/08/2022","unknown","","tag last attached to bird 04/07/2023 19:30:00 UTC. Tag possibly fell off?","Sandringham","Yf(6Y)O/-:Y/m_Sandringham","Sandringham 2",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
91,2022,"7E","FA95587","F","Alya",1,"gps",223951,NA,"14/07/2022","Ken Hill 1","20/07/2022","","unknown","","last transmission 16-04-2023","Ken Hill","Yf(7E)O/-:Y/m_KenHill","Ken Hill",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
85,2022,"7K","FA95590","M","Bill",1,"gps",223953,NA,"14/07/2022","Sandringham 2","20/07/2022","","","","","Sandringham","Yf(7K)O/-:Y/m_Sandringham","Sandringham 2",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
95,2022,"7U","FA95595","F","Jacks",1,"gps",223956,NA,"14/07/2022","Ken Hill 1","20/07/2022","","shed tag","","Last location near Wolferton, Norfolk, with last transmission 24/09/2022. Fate unknown at the time, presumed predated. Resighted for the first time since last data transmission on 01/09/2023 (WWRG), 25/11/2023 and 08/12/2023.","Ken Hill","Yf(7U)O/-:Y/m_KenHill","Ken Hill",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
89,2022,"7Y","FA95598","F","Sylvia",1,"gps",223954,NA,"14/07/2022","Sandringham 2","20/07/2022","","unknown","","last transmission 22/02/2023","Sandringham","Yf(7Y)O/-:Y/m_Sandringham","Sandringham 2",1,"2022-07-20","2022-07-21 23:59:59","2022-07-27 23:59:59","2022-08-03 23:59:59","2022-08-31 23:59:59",NA,NA
